,date,title,point
0,2021-03-01,디지몬 어드벤처 라스트 에볼루션 : 인연,9.56
1,2021-03-01,원더,9.51
2,2021-03-01,극장판 바이올렛 에버가든,9.5
3,2021-03-01,송가인 더 드라마,9.43
4,2021-03-01,서유기 2 - 선리기연,9.36
5,2021-03-01,부활: 그 증거,9.34
6,2021-03-01,소울,9.31
7,2021-03-01,엽기적인 그녀,9.3
8,2021-03-01,극장판 귀멸의 칼날: 무한열차편,9.25
9,2021-03-01,서유기 - 월광보합,9.21
10,2021-03-01,해피 투게더,9.19
11,2021-03-01,러브레터,9.12
12,2021-03-01,싸이코,9.1
13,2021-03-01,타오르는 여인의 초상,9.06
14,2021-03-01,온워드: 단 하루의 기적,9.0
15,2021-03-01,남매의 여름밤,8.96
16,2021-03-01,러브 액츄얼리,8.93
17,2021-03-01,너의 이름은.,8.79
18,2021-03-01,화양연화,8.78
19,2021-03-01,찬실이는 복도 많지,8.73
20,2021-03-01,아티스트,8.72
21,2021-03-01,현기증,8.72
22,2021-03-01,캐롤,8.6
23,2021-03-01,분노,8.55
24,2021-03-01,세자매,8.52
25,2021-03-01,아비정전,8.48
26,2021-03-01,뮨: 달의 요정,8.36
27,2021-03-01,원챈스,8.32
28,2021-03-01,비포 미드나잇,8.19
29,2021-03-01,클로저,8.18
30,2021-03-01,폭스캐처,8.17
31,2021-03-01,하나와 앨리스,8.11
32,2021-03-01,더 울프 오브 월 스트리트,8.05
33,2021-03-01,해리 포터와 불의 잔,8.03
34,2021-03-01,일대종사,8.0
35,2021-03-01,날씨의 아이,7.95
36,2021-03-01,그레이트 뷰티,7.93
37,2021-03-01,별을 쫓는 아이,7.92
38,2021-03-01,톰과 제리,7.79
39,2021-03-01,철벽선생,7.77
40,2021-03-01,미션 파서블,7.66
41,2021-03-01,아메리칸 허슬,7.5
42,2021-03-01,더블패티,7.29
43,2021-03-01,더 프롬,7.27
44,2021-03-01,은혼,7.2
45,2021-03-01,새해전야,7.13
46,2021-03-01,펭귄 하이웨이,6.72
47,2021-03-01,카오스 워킹,6.31
48,2021-03-01,몬스터 헌터,6.02
49,2021-03-02,디지몬 어드벤처 라스트 에볼루션 : 인연,9.56
50,2021-03-02,원더,9.51
51,2021-03-02,극장판 바이올렛 에버가든,9.5
52,2021-03-02,송가인 더 드라마,9.38
53,2021-03-02,서유기 2 - 선리기연,9.36
54,2021-03-02,부활: 그 증거,9.34
55,2021-03-02,소울,9.31
56,2021-03-02,엽기적인 그녀,9.3
57,2021-03-02,극장판 귀멸의 칼날: 무한열차편,9.25
58,2021-03-02,서유기 - 월광보합,9.21
59,2021-03-02,해피 투게더,9.19
60,2021-03-02,러브레터,9.12
61,2021-03-02,싸이코,9.1
62,2021-03-02,타오르는 여인의 초상,9.06
63,2021-03-02,온워드: 단 하루의 기적,9.0
64,2021-03-02,남매의 여름밤,8.96
65,2021-03-02,러브 액츄얼리,8.93
66,2021-03-02,너의 이름은.,8.79
67,2021-03-02,화양연화,8.78
68,2021-03-02,찬실이는 복도 많지,8.73
69,2021-03-02,아티스트,8.73
70,2021-03-02,현기증,8.72
71,2021-03-02,캐롤,8.6
72,2021-03-02,분노,8.55
73,2021-03-02,세자매,8.52
74,2021-03-02,아비정전,8.48
75,2021-03-02,뮨: 달의 요정,8.36
76,2021-03-02,원챈스,8.32
77,2021-03-02,비포 미드나잇,8.19
78,2021-03-02,클로저,8.18
79,2021-03-02,폭스캐처,8.17
80,2021-03-02,하나와 앨리스,8.11
81,2021-03-02,더 울프 오브 월 스트리트,8.05
82,2021-03-02,해리 포터와 불의 잔,8.03
83,2021-03-02,일대종사,8.0
84,2021-03-02,날씨의 아이,7.95
85,2021-03-02,그레이트 뷰티,7.93
86,2021-03-02,별을 쫓는 아이,7.92
87,2021-03-02,톰과 제리,7.79
88,2021-03-02,철벽선생,7.77
89,2021-03-02,어니스트 씨프,7.77
90,2021-03-02,미션 파서블,7.64
91,2021-03-02,아메리칸 허슬,7.5
92,2021-03-02,더블패티,7.3
93,2021-03-02,더 프롬,7.27
94,2021-03-02,은혼,7.2
95,2021-03-02,새해전야,7.13
96,2021-03-02,펭귄 하이웨이,6.71
97,2021-03-02,카오스 워킹,6.31
98,2021-03-02,몬스터 헌터,6.01
99,2021-03-03,디지몬 어드벤처 라스트 에볼루션 : 인연,9.56
100,2021-03-03,원더,9.51
101,2021-03-03,극장판 바이올렛 에버가든,9.5
102,2021-03-03,송가인 더 드라마,9.38
103,2021-03-03,서유기 2 - 선리기연,9.36
104,2021-03-03,부활: 그 증거,9.34
105,2021-03-03,소울,9.31
106,2021-03-03,엽기적인 그녀,9.3
107,2021-03-03,반지의 제왕: 반지 원정대,9.28
108,2021-03-03,극장판 귀멸의 칼날: 무한열차편,9.25
109,2021-03-03,서유기 - 월광보합,9.21
110,2021-03-03,해피 투게더,9.2
111,2021-03-03,러브레터,9.12
112,2021-03-03,싸이코,9.1
113,2021-03-03,타오르는 여인의 초상,9.06
114,2021-03-03,남매의 여름밤,8.96
115,2021-03-03,러브 액츄얼리,8.93
116,2021-03-03,너의 이름은.,8.79
117,2021-03-03,화양연화,8.79
118,2021-03-03,찬실이는 복도 많지,8.73
119,2021-03-03,아티스트,8.73
120,2021-03-03,현기증,8.72
121,2021-03-03,캐롤,8.6
122,2021-03-03,분노,8.55
123,2021-03-03,세자매,8.53
124,2021-03-03,아비정전,8.48
125,2021-03-03,미나리,8.47
126,2021-03-03,뮨: 달의 요정,8.36
127,2021-03-03,원챈스,8.32
128,2021-03-03,비포 미드나잇,8.19
129,2021-03-03,클로저,8.18
130,2021-03-03,폭스캐처,8.17
131,2021-03-03,하나와 앨리스,8.11
132,2021-03-03,해리 포터와 불의 잔,8.03
133,2021-03-03,일대종사,8.0
134,2021-03-03,날씨의 아이,7.95
135,2021-03-03,그레이트 뷰티,7.93
136,2021-03-03,별을 쫓는 아이,7.92
137,2021-03-03,철벽선생,7.77
138,2021-03-03,어니스트 씨프,7.77
139,2021-03-03,톰과 제리,7.75
140,2021-03-03,미션 파서블,7.65
141,2021-03-03,아메리칸 허슬,7.5
142,2021-03-03,더블패티,7.28
143,2021-03-03,은혼,7.2
144,2021-03-03,새해전야,7.12
145,2021-03-03,펭귄 하이웨이,6.71
146,2021-03-03,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",6.56
147,2021-03-03,카오스 워킹,6.3
148,2021-03-03,몬스터 헌터,5.99
149,2021-03-04,디지몬 어드벤처 라스트 에볼루션 : 인연,9.56
150,2021-03-04,원더,9.51
151,2021-03-04,극장판 바이올렛 에버가든,9.5
152,2021-03-04,송가인 더 드라마,9.38
153,2021-03-04,서유기 2 - 선리기연,9.36
154,2021-03-04,부활: 그 증거,9.34
155,2021-03-04,소울,9.31
156,2021-03-04,엽기적인 그녀,9.3
157,2021-03-04,반지의 제왕: 반지 원정대,9.28
158,2021-03-04,극장판 귀멸의 칼날: 무한열차편,9.25
159,2021-03-04,서유기 - 월광보합,9.21
160,2021-03-04,해피 투게더,9.2
161,2021-03-04,러브레터,9.12
162,2021-03-04,싸이코,9.1
163,2021-03-04,타오르는 여인의 초상,9.06
164,2021-03-04,남매의 여름밤,8.96
165,2021-03-04,러브 액츄얼리,8.93
166,2021-03-04,중경삼림,8.9
167,2021-03-04,람보-특별판,8.88
168,2021-03-04,너의 이름은.,8.79
169,2021-03-04,화양연화,8.79
170,2021-03-04,찬실이는 복도 많지,8.73
171,2021-03-04,현기증,8.72
172,2021-03-04,캐롤,8.6
173,2021-03-04,분노,8.55
174,2021-03-04,세자매,8.53
175,2021-03-04,아비정전,8.48
176,2021-03-04,원챈스,8.32
177,2021-03-04,미나리,8.24
178,2021-03-04,비포 미드나잇,8.19
179,2021-03-04,클로저,8.18
180,2021-03-04,하나와 앨리스,8.11
181,2021-03-04,해리 포터와 불의 잔,8.03
182,2021-03-04,무드 인디고,8.02
183,2021-03-04,일대종사,8.0
184,2021-03-04,날씨의 아이,7.95
185,2021-03-04,그레이트 뷰티,7.93
186,2021-03-04,별을 쫓는 아이,7.92
187,2021-03-04,철벽선생,7.77
188,2021-03-04,톰과 제리,7.71
189,2021-03-04,미션 파서블,7.64
190,2021-03-04,더블패티,7.26
191,2021-03-04,은혼,7.2
192,2021-03-04,새해전야,7.12
193,2021-03-04,펭귄 하이웨이,6.71
